crash_id,location_id
20243060,L140
20242002,L316
20242002,L316
20243057,L54
20243166,L234
20242203,L600
20243196,L601
20241214,L602
20242083,L600
20241272,L238
20241104,L603
20243182,L376
20242180,L604
20242126,L246
20241023,L605
20241023,L605
20243065,L269
20243083,L62
20244070,L168
20243048,L606
20241280,L409
20242118,L423
20242118,L423
20241193,L409
20242150,L132
20241239,L607
20242111,L608
20243255,L609
20241033,L220
20241288,L610
20243012,L611
20241164,L612
20243250,L177
20242076,L613
20241099,L614
20243052,L615
20241015,L544
20243219,L164
20241184,L550
20241284,L616
20242218,L359
20241008,L361
20244075,L378
20242147,L306
20248010,L617
20234108,L135
20234099,L618
20233145,L619
20236026,L315
20233259,L620
20236028,L621
20231088,L142
20231088,L142
20231088,L142
20231189,L105
20232156,L182
20233100,L496
20231103,L622
20232192,L623
20232192,L623
20233056,L140
20231091,L624
20232211,L625
20231104,L626
20231155,L402
20232098,L295
20232128,L494
20233085,L627
20234027,L628
20232061,L123
20234033,L53
20232044,L629
20232250,L300
20233231,L113
20231020,L630
20231115,L631
20231038,L141
20231038,L141
20231108,L632
20231281,L336
20233078,L112
20231261,L58
20233258,L633
20233258,L633
20236009,L634
20232237,L635
20232188,L636
20233165,L637
20231098,L638
20234029,L639
20231102,L417
20231102,L417
20231198,L640
20231129,L116
20231231,L641
20233120,L533
20232196,L642
20234053,L384
20234053,L384
20232240,L375
20231095,L361
20232119,L86
20232243,L643
20234042,L28
20232067,L411
20234079,L644
20231023,L415
20233221,L645
20233081,L646
20231076,L647
20232045,L518
20236006,L648
20234061,L10
20232201,L458
20236025,L649
20233189,L650
20233111,L575
20232097,L651
20233036,L652
20231250,L488
20233228,L653
20234084,L654
20232009,L655
20231145,L656
20231056,L207
20232115,L261
20233012,L158
20232018,L657
20233200,L464
20233110,L658
20233154,L64
20231223,L527
20231223,L527
20231223,L527
20234067,L659
20231182,L660
20238004,L103
20231173,L51
20233155,L387
20233161,L661
20234020,L662
20231052,L663
20231296,L537
20231143,L332
20234021,L664
20231302,L343
20231285,L665
20231178,L666
20234031,L349
20237013,L667
20233136,L575
20233051,L328
20231229,L546
20231229,L546
20233176,L157
20234068,L668
20231044,L622
